id,source,target,Effect,Evidence
PA5085-PA5083,PA5085,PA5083,+,Strong
PA5085-PA5082,PA5085,PA5082,+,Strong
PA5085-dadA2,PA5085,dadA2,+,Strong
cifR-morB,cifR,morB,-,Strong
cifR-cifR,cifR,cifR,-,Strong
cifR-cif,cifR,cif,-,Strong
cmpX-exoS,cmpX,exoS,+,Strong
cmpX-rsmY,cmpX,rsmY,-,Strong
cmpX-oprF,cmpX,oprF,+,Strong
cmpX-sigX,cmpX,sigX,+,Strong
mvfR-PA2874,mvfR,PA2874,?,Strong
mvfR-aruI,mvfR,aruI,?,Strong
mvfR-PA4112,mvfR,PA4112,?,Strong
mvfR-PA4340,mvfR,PA4340,?,Strong
mvfR-PA0540,mvfR,PA0540,?,Strong
mvfR-eddB,mvfR,eddB,?,Strong
mvfR-PA4676,mvfR,PA4676,?,Strong
mvfR-pchG,mvfR,pchG,?,Strong
mvfR-PA1200,mvfR,PA1200,?,Strong
mvfR-phnB,mvfR,phnB,+,Strong
mvfR-phnA,mvfR,phnA,+,Strong
mvfR-PA3740,mvfR,PA3740,?,Strong
mvfR-pelC,mvfR,pelC,?,Strong
mvfR-PA4611,mvfR,PA4611,?,Strong
mvfR-PA3067,mvfR,PA3067,?,Strong
mvfR-PA4987,mvfR,PA4987,?,Strong
mvfR-PA0138,mvfR,PA0138,?,Strong
mvfR-PA4735,mvfR,PA4735,?,Strong
mvfR-PA0851,mvfR,PA0851,?,Strong
mvfR-PA3759,mvfR,PA3759,?,Strong
mvfR-pqsD,mvfR,pqsD,+,Strong
mvfR-pqsE,mvfR,pqsE,+,Strong
mvfR-PA0557,mvfR,PA0557,?,Strong
mvfR-PA4291,mvfR,PA4291,?,Strong
mvfR-pqsA,mvfR,pqsA,+,Strong
mvfR-pqsB,mvfR,pqsB,+,Strong
mvfR-pqsC,mvfR,pqsC,+,Strong
mvfR-sigX,mvfR,sigX,?,Strong
mvfR-lpdV,mvfR,lpdV,?,Strong
mvfR-PA0570,mvfR,PA0570,?,Strong
mvfR-PA0874,mvfR,PA0874,?,Strong
mvfR-femI,mvfR,femI,?,Strong
mvfR-lysC,mvfR,lysC,?,Strong
mvfR-PA0157,mvfR,PA0157,?,Strong
mvfR-PA2864,mvfR,PA2864,?,Strong
mvfR-mvfR,mvfR,mvfR,-,Strong
mvfR-rlmF,mvfR,rlmF,?,Strong
mvfR-amiC,mvfR,amiC,?,Strong
mvfR-rhlI,mvfR,rhlI,+,Strong
mvfR-xcpT,mvfR,xcpT,?,Strong
mvfR-rhlR,mvfR,rhlR,?,Strong
mvfR-PA0643,mvfR,PA0643,?,Strong
mvfR-PA5543,mvfR,PA5543,?,Strong
mvfR-PA3375,mvfR,PA3375,?,Strong
mvfR-PA0422,mvfR,PA0422,?,Strong
mvfR-pelB,mvfR,pelB,?,Strong
mvfR-PA5136,mvfR,PA5136,?,Strong
mvfR-amiR,mvfR,amiR,?,Strong
mvfR-PA4992,mvfR,PA4992,?,Strong
mvfR-PA3077,mvfR,PA3077,?,Strong
mvfR-PA5210,mvfR,PA5210,?,Strong
mvfR-PA3592,mvfR,PA3592,?,Strong
mvfR-PA3214,mvfR,PA3214,?,Strong
mvfR-PA2004,mvfR,PA2004,?,Strong
mvfR-PA3313,mvfR,PA3313,?,Strong
mvfR-PA3761,mvfR,PA3761,?,Strong
mvfR-PA0802,mvfR,PA0802,?,Strong
mvfR-PA4289,mvfR,PA4289,?,Strong
mvfR-PA0883,mvfR,PA0883,?,Strong
mvfR-PA1295,mvfR,PA1295,?,Strong
mvfR-aguR,mvfR,aguR,?,Strong
mvfR-algU,mvfR,algU,?,Strong
lrp-lrp,lrp,lrp,+,Strong
lrp-dadA1,lrp,dadA1,+,Strong
lrp-dadX,lrp,dadX,+,Strong
PA2100-PA5159,PA2100,PA5159,+,Strong
PA2100-PA5160,PA2100,PA5160,+,Strong
PA2100-mexB,PA2100,mexB,-,Strong
PA2100-oprM,PA2100,oprM,-,Strong
PA2100-mexA,PA2100,mexA,-,Strong
amgR-mexB,amgR,mexB,+,Strong
amgR-oprM,amgR,oprM,+,Strong
amgR-mexA,amgR,mexA,+,Strong
cyaB-exsA,cyaB,exsA,+,Strong
aguR-aguB,aguR,aguB,-,Strong
aguR-aguA,aguR,aguA,-,Strong
bexR-aprA,bexR,aprA,+,Strong
bexR-bexR,bexR,bexR,+,Strong
bexR-PA1202,bexR,PA1202,+,Strong
bexR-PA1203,bexR,PA1203,+,Strong
bexR-PA1204,bexR,PA1204,+,Strong
bexR-PA1205,bexR,PA1205,+,Strong
bexR-PA0572,bexR,PA0572,+,Strong
cdhR-PA5384,cdhR,PA5384,+,Strong
cdhR-cdhC,cdhR,cdhC,+,Strong
cdhR-cdhB,cdhR,cdhB,+,Strong
cdhR-PA5388,cdhR,PA5388,+,Strong
cdhR-cdhR,cdhR,cdhR,-,Strong
cdhR-lcdH,cdhR,lcdH,+,Strong
sigX-PA1196,sigX,PA1196,?,Strong
sigX-PA4132,sigX,PA4132,?,Strong
sigX-narL,sigX,narL,?,Strong
sigX-psrA,sigX,psrA,?,Strong
sigX-anr,sigX,anr,?,Strong
sigX-gacA,sigX,gacA,?,Strong
sigX-PA5440,sigX,PA5440,?,Strong
sigX-PA3899,sigX,PA3899,?,Strong
sigX-roxS,sigX,roxS,?,Strong
sigX-dnr,sigX,dnr,?,Strong
sigX-PA3225,sigX,PA3225,?,Strong
sigX-lasR,sigX,lasR,?,Strong
sigX-mexZ,sigX,mexZ,?,Strong
sigX-PA4781,sigX,PA4781,?,Strong
sigX-rhlR,sigX,rhlR,?,Strong
sigX-amrZ,sigX,amrZ,?,Strong
sigX-fliA,sigX,fliA,?,Strong
sigX-kdpD,sigX,kdpD,?,Strong
sigX-PA5506,sigX,PA5506,?,Strong
sigX-PA3458,sigX,PA3458,?,Strong
sigX-vreR,sigX,vreR,?,Strong
sigX-PA2384,sigX,PA2384,?,Strong
sigX-pprB,sigX,pprB,?,Strong
sigX-PrrF1,sigX,PrrF1,?,Strong
sigX-cbrB,sigX,cbrB,?,Strong
sigX-aguR,sigX,aguR,?,Strong
rpoS-exsE,rpoS,exsE,+,Strong
rpoS-coIII,rpoS,coIII,+,Strong
rpoS-exsC,rpoS,exsC,+,Strong
rpoS-exsA,rpoS,exsA,+,Strong
rpoS-cioA,rpoS,cioA,+,Strong
rpoS-PA1351,rpoS,PA1351,?,Strong
rpoS-cioB,rpoS,cioB,+,Strong
rpoS-rhlI,rpoS,rhlI,-,Strong
rpoS-PA0107,rpoS,PA0107,+,Strong
rpoS-coxB,rpoS,coxB,+,Strong
rpoS-exsB,rpoS,exsB,+,Strong
rpoS-coxA,rpoS,coxA,+,Strong
rpoS-azu,rpoS,azu,+,Strong
clpX-algU,clpX,algU,-,Strong
cysB-algJ,cysB,algJ,+,Strong
cysB-algX,cysB,algX,+,Strong
cysB-msuD,cysB,msuD,+,Strong
cysB-algG,cysB,algG,+,Strong
cysB-cysH,cysB,cysH,+,Strong
cysB-msuC,cysB,msuC,+,Strong
cysB-mvfR,cysB,mvfR,+-,Strong
cysB-alg8,cysB,alg8,+,Strong
cysB-cysB,cysB,cysB,-,Strong
cysB-retS,cysB,retS,-,Strong
cysB-algK,cysB,algK,+,Strong
cysB-algI,cysB,algI,+,Strong
cysB-pvdS,cysB,pvdS,+,Strong
cysB-algL,cysB,algL,+,Strong
cysB-alg44,cysB,alg44,+,Strong
cysB-algA,cysB,algA,+,Strong
cysB-algF,cysB,algF,+,Strong
cysB-msuE,cysB,msuE,+,Strong
cysB-algD,cysB,algD,+,Strong
cysB-algE,cysB,algE,+,Strong
rpoN-PA1196,rpoN,PA1196,+,Strong
rpoN-lasR,rpoN,lasR,+,Strong
rpoN-nirD,rpoN,nirD,+,Strong
rpoN-PA1785,rpoN,PA1785,+,Strong
rpoN-nirB,rpoN,nirB,+,Strong
rpoN-glnK,rpoN,glnK,+,Strong
rpoN-rsaL,rpoN,rsaL,+,Strong
rpoN-amtB,rpoN,amtB,+,Strong
rpoN-PA2449,rpoN,PA2449,+,Strong
rpoN-pqsD,rpoN,pqsD,+,Strong
rpoN-pqsE,rpoN,pqsE,+,Strong
rpoN-pqsA,rpoN,pqsA,+,Strong
rpoN-pqsB,rpoN,pqsB,+,Strong
rpoN-nosY,rpoN,nosY,+,Strong
rpoN-pqsH,rpoN,pqsH,+,Strong
rpoN-nosR,rpoN,nosR,+,Strong
rpoN-mvfR,rpoN,mvfR,+,Strong
rpoN-nosZ,rpoN,nosZ,+,Strong
rpoN-pqsC,rpoN,pqsC,+,Strong
rpoN-mifR,rpoN,mifR,+,Strong
rpoN-nasA,rpoN,nasA,+,Strong
rpoN-nosD,rpoN,nosD,+,Strong
rpoN-nosF,rpoN,nosF,+,Strong
rpoN-algB,rpoN,algB,+,Strong
rpoN-lasI,rpoN,lasI,+,Strong
rpoN-nosL,rpoN,nosL,+,Strong
rpoN-hcpA,rpoN,hcpA,+,Strong
rpoN-PA1786,rpoN,PA1786,+,Strong
rpoN-PA2005,rpoN,PA2005,+,Strong
gltR-oprB,gltR,oprB,-,Strong
gltR-glk,gltR,glk,-,Strong
gltR-edd,gltR,edd,-,Strong
gltR-eta,gltR,eta,-,Strong
bfiS-gacA,bfiS,gacA,+,Strong
bfiS-gacS,bfiS,gacS,+,Strong
bfiS-cafA,bfiS,cafA,+,Strong
PA1196-PA1195,PA1196,PA1195,+,Strong
PA2047-mexF,PA2047,mexF,+,Strong
PA2047-mexE,PA2047,mexE,+,Strong
PA2047-oprN,PA2047,oprN,+,Strong
gbuR-gbuA,gbuR,gbuA,+-,Strong
gbuR-glpR,gbuR,glpR,+,Strong
rsaL-PA5324,rsaL,PA5324,?,Strong
rsaL-PA3669,rsaL,PA3669,?,Strong
rsaL-PA3774,rsaL,PA3774,?,Strong
rsaL-PA0845,rsaL,PA0845,?,Strong
rsaL-gyrA,rsaL,gyrA,?,Strong
rsaL-PA0158,rsaL,PA0158,?,Strong
rsaL-tilS,rsaL,tilS,?,Strong
